ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR010015-15,FULL_STACK,T300,yes,63,68213.91,68071.05,0,0,-63.0,3.26,-66.26
KXBTC15M-26MAR312215-15,FULL_STACK,T300,yes,70,67870.01,67747.52,0,0,-70.0,2.94,-72.94
KXBTC15M-26MAR312115-15,FULL_STACK,T300,no,41,68240.56,68242.50,0,1,59.0,3.39,55.61
KXBTC15M-26MAR312100-00,FULL_STACK,T300,yes,78,68225.00,67995.44,1,1,22.0,2.40,19.60
KXBTC15M-26MAR312030-30,FULL_STACK,T300,yes,80,68206.90,68010.65,0,0,-80.0,2.24,-82.24
KXBTC15M-26MAR311830-30,FULL_STACK,T300,yes,72,68279.57,68124.44,0,0,-72.0,2.82,-74.82
KXBTC15M-26MAR311800-00,FULL_STACK,T300,yes,76,68243.35,68107.11,1,1,24.0,2.55,21.45
KXBTC15M-26MAR311745-45,FULL_STACK,T300,no,26,67959.65,67969.08,1,0,-26.0,2.69,-28.69
KXBTC15M-26MAR311600-00,FULL_STACK,T300,yes,76,67916.26,67770.68,1,1,24.0,2.55,21.45
KXBTC15M-26MAR311515-15,FULL_STACK,T300,yes,77,67931.82,67778.06,1,1,23.0,2.48,20.52
KXBTC15M-26MAR311500-00,FULL_STACK,T300,yes,67,67861.39,67756.43,1,1,33.0,3.10,29.90
KXBTC15M-26MAR311300-00,FULL_STACK,T300,no,56,67584.54,67738.96,0,1,44.0,3.45,40.55
KXBTC15M-26MAR310930-30,FULL_STACK,T300,yes,37,66877.69,66775.40,0,0,-37.0,3.26,-40.26
KXBTC15M-26MAR310500-00,FULL_STACK,T300,no,43,66676.97,66832.89,0,1,57.0,3.43,53.57
KXBTC15M-26MAR310345-45,FULL_STACK,T300,yes,57,67344.53,67243.33,1,1,43.0,3.43,39.57
KXBTC15M-26MAR310300-00,FULL_STACK,T300,yes,66,67476.76,67370.21,1,1,34.0,3.14,30.86
KXBTC15M-26MAR310215-15,FULL_STACK,T300,no,39,67625.10,67631.10,0,1,61.0,3.33,57.67
KXBTC15M-26MAR310200-00,FULL_STACK,T300,yes,78,67741.05,67597.01,1,1,22.0,2.40,19.60
KXBTC15M-26MAR310100-00,FULL_STACK,T300,yes,63,67668.98,67550.63,0,0,-63.0,3.26,-66.26
KXBTC15M-26MAR310045-45,FULL_STACK,T300,yes,57,67620.52,67514.22,1,1,43.0,3.43,39.57
KXBTC15M-26MAR302345-45,FULL_STACK,T300,no,30,67810.78,67794.88,0,1,70.0,2.94,67.06
KXBTC15M-26MAR302045-45,FULL_STACK,T300,yes,44,66868.37,66755.42,1,1,56.0,3.45,52.55
KXBTC15M-26MAR301945-45,FULL_STACK,T300,yes,70,66758.98,66654.10,1,1,30.0,2.94,27.06
KXBTC15M-26MAR301930-30,FULL_STACK,T300,yes,68,66610.93,66490.07,1,1,32.0,3.05,28.95
KXBTC15M-26MAR301615-15,FULL_STACK,T300,yes,66,66645.58,66456.24,1,1,34.0,3.14,30.86
KXBTC15M-26MAR301545-45,FULL_STACK,T300,yes,66,66363.75,66243.03,1,1,34.0,3.14,30.86
KXBTC15M-26MAR301245-45,FULL_STACK,T300,yes,69,67422.00,67304.31,1,1,31.0,2.99,28.01
KXBTC15M-26MAR301230-30,FULL_STACK,T300,yes,33,67401.10,67405.61,0,0,-33.0,3.10,-36.10
KXBTC15M-26MAR301100-00,FULL_STACK,T300,yes,72,67264.30,67098.87,1,1,28.0,2.82,25.18
KXBTC15M-26MAR300845-45,FULL_STACK,T300,yes,75,67919.23,67813.35,1,1,25.0,2.63,22.38
KXBTC15M-26MAR300715-15,FULL_STACK,T300,yes,69,67546.26,67429.43,1,1,31.0,2.99,28.01
KXBTC15M-26MAR300530-30,FULL_STACK,T300,no,36,67549.01,67545.84,0,1,64.0,3.23,60.77
KXBTC15M-26MAR300500-00,FULL_STACK,T300,yes,45,67911.36,67706.97,0,0,-45.0,3.47,-48.47
KXBTC15M-26MAR300245-45,FULL_STACK,T300,yes,48,67300.04,67275.61,1,1,52.0,3.49,48.51
KXBTC15M-26MAR300200-00,FULL_STACK,T300,no,39,67446.98,67462.86,0,1,61.0,3.33,57.67
KXBTC15M-26MAR300015-15,FULL_STACK,T300,yes,73,67264.09,67116.06,1,1,27.0,2.76,24.24
KXBTC15M-26MAR292230-30,FULL_STACK,T300,yes,42,66897.82,66739.84,0,0,-42.0,3.41,-45.41
KXBTC15M-26MAR292100-00,FULL_STACK,T300,yes,54,66393.09,66261.80,0,0,-54.0,3.48,-57.48
KXBTC15M-26MAR291930-30,FULL_STACK,T300,yes,54,66208.26,66061.92,0,0,-54.0,3.48,-57.48
KXBTC15M-26MAR291830-30,FULL_STACK,T300,yes,64,66345.37,66245.46,1,1,36.0,3.23,32.77
KXBTC15M-26MAR291700-00,FULL_STACK,T300,yes,31,66669.25,66554.83,1,1,69.0,2.99,66.01
KXBTC15M-26MAR291430-30,FULL_STACK,T300,yes,72,66462.66,66349.33,0,0,-72.0,2.82,-74.82
KXBTC15M-26MAR291130-30,FULL_STACK,T300,yes,56,66613.91,66508.18,0,0,-56.0,3.45,-59.45
KXBTC15M-26MAR291115-15,FULL_STACK,T300,yes,65,66665.88,66535.17,0,0,-65.0,3.19,-68.19
KXBTC15M-26MAR290945-45,FULL_STACK,T300,yes,49,66689.37,66581.58,1,1,51.0,3.50,47.50
KXBTC15M-26MAR290900-00,FULL_STACK,T300,yes,80,66800.90,66700.24,1,1,20.0,2.24,17.76
KXBTC15M-26MAR290330-30,FULL_STACK,T300,no,20,66576.52,66552.67,1,0,-20.0,2.24,-22.24
KXBTC15M-26MAR290215-15,FULL_STACK,T300,yes,77,66845.91,66744.33,1,1,23.0,2.48,20.52
KXBTC15M-26MAR282300-00,FULL_STACK,T300,yes,64,66791.34,66661.72,1,1,36.0,3.23,32.77
KXBTC15M-26MAR282115-15,FULL_STACK,T300,yes,76,66532.65,66426.83,1,1,24.0,2.55,21.45
KXBTC15M-26MAR281315-15,FULL_STACK,T300,yes,72,66997.89,66883.08,0,0,-72.0,2.82,-74.82
KXBTC15M-26MAR280900-00,FULL_STACK,T300,no,31,66343.73,66325.00,1,0,-31.0,2.99,-33.99
KXBTC15M-26MAR280645-45,FULL_STACK,T300,yes,66,66300.33,66127.27,1,1,34.0,3.14,30.86
KXBTC15M-26MAR280630-30,FULL_STACK,T300,yes,27,66300.33,66281.56,0,0,-27.0,2.76,-29.76
KXBTC15M-26MAR280445-45,FULL_STACK,T300,yes,25,66495.46,66495.73,0,0,-25.0,2.63,-27.62
