ticker,entry_ts,side,entry_c,fair_for_side,spread_c,baseline_c,btc_dist_signed_pct,btc_dist_abs_pct,session_age_s,btc_5m_move,btc_15m_move,aligned_with_btc5m,hour_utc,exit_reason,exit_c,fill_at_s,net_c
KXBTC15M-26MAR301515-15,1774897320,yes,53,69,12,53,0.0967,0.0967,120,96.17,-97.27,1,19,SL,41,60,-16.11
KXBTC15M-26MAR301500-00,1774896420,yes,56,74,18,61,0.0856,0.0856,120,151.22,151.22,1,18,SL,40,60,-20.08
KXBTC15M-26MAR301445-45,1774895880,no,14,77,63,35,-0.0742,0.0742,480,0.00,-69.81,0,18,TP,44,120,27.43
KXBTC15M-26MAR301430-30,1774894620,yes,38,63,25,42,0.0822,0.0822,120,23.32,-13.41,1,18,TP,68,240,26.83
KXBTC15M-26MAR301415-15,1774893720,yes,52,61,9,52,0.0687,0.0687,120,-25.07,-125.11,0,18,SL,41,300,-15.12
KXBTC15M-26MAR301400-00,1774892820,yes,46,62,16,53,0.0887,0.0887,120,39.75,245.12,1,17,SL,34,180,-15.94
KXBTC15M-26MAR301345-45,1774891920,no,35,57,15,65,-0.0421,0.0421,120,0.00,-408.05,0,17,SL,22,300,-16.27
KXBTC15M-26MAR301330-30,1774891020,yes,30,42,12,35,-0.0417,0.0417,120,-142.71,-253.85,0,17,SL,7,300,-25.11
KXBTC15M-26MAR301315-15,1774890240,no,31,52,6,69,-0.0119,0.0119,240,-58.09,-124.48,1,17,TP,61,60,26.84
KXBTC15M-26MAR301300-00,1774889220,yes,59,65,1,59,0.0806,0.0806,120,47.44,-18.61,1,16,SL,36,180,-26.95
KXBTC15M-26MAR301245-45,1774888320,yes,51,76,22,51,0.1495,0.1495,120,13.02,13.26,1,16,TP,81,300,27.17
KXBTC15M-26MAR301230-30,1774887420,yes,33,46,12,33,-0.0207,0.0207,120,-78.60,-170.04,0,16,SL,8,300,-27.27
KXBTC15M-26MAR301215-15,1774886640,no,63,71,15,37,-0.1215,0.1215,240,-133.62,-218.47,1,16,TP,93,120,27.91
KXBTC15M-26MAR301200-00,1774885800,yes,32,62,30,50,0.0825,0.0825,300,-8.06,-35.33,0,15,SL,22,360,-13.20
KXBTC15M-26MAR301130-30,1774883820,yes,20,34,14,23,-0.1497,0.1497,120,-189.35,-305.37,0,15,SL,11,300,-11.08
KXBTC15M-26MAR301115-15,1774882920,yes,46,56,10,50,0.0542,0.0542,120,-70.91,562.15,0,15,SL,33,240,-16.91
KXBTC15M-26MAR301045-45,1774881300,no,36,59,23,62,-0.0634,0.0634,300,-148.45,-280.19,1,14,TP,66,60,26.82
KXBTC15M-26MAR301015-15,1774879620,yes,58,71,9,58,0.1313,0.1313,420,-81.67,-153.23,0,14,TP,88,180,27.56
KXBTC15M-26MAR301000-00,1774878540,no,43,52,4,57,-0.0133,0.0133,240,-41.17,-185.83,1,13,TP,73,60,26.90
KXBTC15M-26MAR300945-45,1774877520,yes,47,55,0,47,0.0227,0.0227,120,-109.41,-90.73,0,13,SL,17,540,-33.13
KXBTC15M-26MAR300930-30,1774876620,yes,47,82,25,47,0.1155,0.1155,120,41.35,64.96,1,13,TP,77,300,27.02
KXBTC15M-26MAR300915-15,1774875720,yes,28,68,40,37,0.0666,0.0666,120,27.93,27.93,1,13,TP,58,360,26.88
KXBTC15M-26MAR300900-00,1774875360,yes,58,73,15,60,0.0554,0.0554,660,0.00,-48.41,0,12,TP,88,180,27.56
KXBTC15M-26MAR300845-45,1774873920,no,24,38,14,73,0.0480,0.0480,120,-110.92,-11.05,1,12,TP,54,600,26.98
KXBTC15M-26MAR300830-30,1774873020,yes,46,70,24,49,0.0863,0.0863,120,0.04,176.21,1,12,TP,76,300,26.98
KXBTC15M-26MAR300815-15,1774872120,yes,61,75,7,61,0.1087,0.1087,120,99.62,99.62,1,12,TP,91,240,27.76
KXBTC15M-26MAR300800-00,1774871220,yes,55,66,2,55,0.0631,0.0631,120,-4.54,-52.35,0,11,TP,85,180,27.38
KXBTC15M-26MAR300745-45,1774870320,yes,37,61,24,46,0.0406,0.0406,120,-109.79,60.76,0,11,SL,20,360,-20.20
KXBTC15M-26MAR300730-30,1774869420,yes,41,76,32,41,0.0651,0.0651,120,22.72,26.44,1,11,SL,28,120,-16.67
KXBTC15M-26MAR300700-00,1774867620,yes,54,91,37,57,0.0716,0.0716,120,0.00,-12.70,0,10,TP,84,180,27.32
KXBTC15M-26MAR300645-45,1774866720,yes,46,94,48,48,0.0710,0.0710,120,0.00,-34.47,0,10,SL,27,360,-22.67
KXBTC15M-26MAR300630-30,1774865820,yes,52,99,39,52,0.1048,0.1048,120,0.00,-13.49,0,10,SL,42,480,-14.13
KXBTC15M-26MAR300615-15,1774864920,yes,26,64,34,26,0.0211,0.0211,120,-53.77,-52.34,0,10,SL,17,360,-11.73
KXBTC15M-26MAR300600-00,1774864320,yes,53,68,8,53,0.0629,0.0629,420,22.42,22.42,1,9,SL,40,120,-17.10
KXBTC15M-26MAR300545-45,1774863120,yes,38,63,25,40,0.0701,0.0701,120,-38.15,-26.19,0,9,SL,26,60,-15.53
KXBTC15M-26MAR300530-30,1774862700,yes,15,57,42,44,0.0224,0.0224,600,11.96,-66.94,1,9,SL,4,120,-12.27
KXBTC15M-26MAR300515-15,1774861320,yes,40,52,12,41,0.0139,0.0139,120,-19.45,-272.25,0,9,SL,29,120,-14.70
KXBTC15M-26MAR300500-00,1774860960,no,45,69,2,55,-0.0585,0.0585,660,-243.99,-243.99,1,8,TP,75,60,26.95
KXBTC15M-26MAR300430-30,1774858620,no,55,60,4,45,-0.0592,0.0592,120,38.98,35.89,0,8,TP,85,120,27.38
KXBTC15M-26MAR300345-45,1774856520,yes,48,88,40,75,0.1014,0.1014,720,-50.70,-0.22,0,7,SL,21,120,-30.37
KXBTC15M-26MAR300330-30,1774855020,yes,54,71,17,55,0.0954,0.0954,120,-52.90,116.22,0,7,SL,42,240,-16.13
KXBTC15M-26MAR300315-15,1774854120,yes,38,54,14,38,0.0150,0.0150,120,-66.28,-177.53,0,7,SL,28,60,-13.62
KXBTC15M-26MAR300300-00,1774853340,yes,50,58,4,50,0.0258,0.0258,240,-0.92,46.93,0,6,SL,19,300,-34.26
KXBTC15M-26MAR300245-45,1774852320,yes,46,61,15,48,0.0363,0.0363,120,-95.15,-95.15,0,6,SL,36,240,-14.00
KXBTC15M-26MAR300215-15,1774850520,yes,57,67,9,57,0.0995,0.0995,120,6.08,15.20,1,6,SL,46,480,-15.15
KXBTC15M-26MAR300200-00,1774849620,yes,34,60,26,42,0.0608,0.0608,120,0.00,-161.94,0,5,TP,64,420,26.82
KXBTC15M-26MAR300145-45,1774848720,yes,50,58,8,50,0.0465,0.0465,120,-24.32,59.66,0,5,SL,37,60,-17.03
KXBTC15M-26MAR300130-30,1774847820,yes,40,53,11,40,0.0231,0.0231,120,-85.84,-82.80,0,5,TP,70,540,26.85
KXBTC15M-26MAR300115-15,1774847040,no,33,43,7,67,0.0402,0.0402,240,-19.25,167.19,1,5,SL,4,360,-30.92
KXBTC15M-26MAR300045-45,1774845120,yes,52,60,4,52,0.0613,0.0613,120,57.70,10.34,1,4,SL,43,120,-13.15
KXBTC15M-26MAR300030-30,1774844400,yes,50,74,24,64,0.1177,0.1177,300,-65.87,158.76,0,4,SL,37,240,-17.03
KXBTC15M-26MAR300000-00,1774842420,yes,34,64,30,37,0.0702,0.0702,120,27.92,-57.66,1,3,SL,25,60,-12.41
KXBTC15M-26MAR292345-45,1774841520,yes,52,66,14,57,0.1128,0.1128,120,0.00,215.60,0,3,SL,42,120,-14.13
KXBTC15M-26MAR292330-30,1774840620,yes,61,67,3,61,0.1284,0.1284,120,1.61,-37.63,1,3,TP,91,420,27.76
KXBTC15M-26MAR292315-15,1774839780,no,48,64,6,52,-0.1055,0.1055,180,-159.99,-285.68,1,3,TP,78,60,27.05
KXBTC15M-26MAR292245-45,1774837920,yes,51,60,2,51,0.0763,0.0763,120,0.63,-167.02,1,2,SL,31,120,-23.85
KXBTC15M-26MAR292230-30,1774837260,no,45,57,21,55,-0.0432,0.0432,360,-186.83,86.49,1,2,TP,75,0,26.95
KXBTC15M-26MAR292215-15,1774836300,no,30,41,8,70,0.0617,0.0617,300,-4.84,-175.77,1,2,SL,8,180,-24.19
KXBTC15M-26MAR292200-00,1774835880,yes,76,89,6,76,0.1395,0.1395,780,0.00,85.13,0,1,PRE_EXP,93,60,15.09
KXBTC15M-26MAR292145-45,1774834320,yes,54,62,2,54,0.0970,0.0970,120,87.40,179.60,1,1,SL,42,120,-16.13
KXBTC15M-26MAR292130-30,1774833420,yes,52,58,4,52,0.1489,0.1489,120,-12.05,-16.46,0,1,TP,82,420,27.22
KXBTC15M-26MAR292100-00,1774831860,no,39,56,2,61,-0.0991,0.0991,360,-148.68,-234.79,1,0,TP,69,60,26.84
KXBTC15M-26MAR292045-45,1774830840,no,45,55,9,55,-0.0890,0.0890,240,-243.24,-401.98,1,0,TP,75,240,26.95
KXBTC15M-26MAR292015-15,1774829460,no,50,69,20,50,-0.0977,0.0977,660,-51.75,-148.26,1,0,TP,80,0,27.13
