ticker,side,entry_c,fair_for_side,spread_c,baseline_c,mfe_c,mae_c,mfe_at_s,mae_at_s,final_bid_c,settled_yes,btc_dist_pct,closed_full,closed_half,closed_min,directional
KXBTC15M-26APR221945-45,no,71,83,11,29,99,71,360,0,99,0,0.1341,1,1,1,1
KXBTC15M-26APR221930-30,no,45,61,11,55,100,45,660,0,100,0,0.0455,1,1,1,1
KXBTC15M-26APR221915-15,no,76,81,4,24,98,76,720,0,98,0,0.1383,1,1,1,1
KXBTC15M-26APR221900-00,no,43,77,23,57,74,0,60,660,0,1,0.0902,0,1,1,1
KXBTC15M-26APR221845-45,no,30,62,31,70,72,25,180,660,62,0,0.0376,1,1,1,1
KXBTC15M-26APR221830-30,no,75,83,7,25,100,75,540,0,100,0,0.0891,1,1,1,1
KXBTC15M-26APR221815-15,no,34,71,36,66,77,1,120,720,1,1,0.0477,1,1,1,1
KXBTC15M-26APR221800-00,yes,60,66,6,60,98,40,660,360,97,1,0.0415,1,1,1,1
KXBTC15M-26APR221745-45,no,29,40,11,70,29,0,0,540,0,1,0.0235,0,0,0,0
KXBTC15M-26APR221730-30,no,35,57,22,58,55,10,360,660,10,1,0.0245,0,1,1,1
KXBTC15M-26APR221715-15,yes,73,81,10,73,100,73,420,0,100,1,0.1198,1,1,1,1
KXBTC15M-26APR221700-00,no,61,82,8,39,99,61,420,0,99,0,0.1138,1,1,1,1
KXBTC15M-26APR221645-45,no,52,70,9,48,100,52,600,0,100,0,0.0830,1,1,1,1
KXBTC15M-26APR221630-30,no,52,62,10,48,100,51,660,0,100,0,0.0514,1,1,1,1
KXBTC15M-26APR221615-15,no,59,79,20,40,100,58,480,0,100,0,0.1072,1,1,1,1
KXBTC15M-26APR221600-00,yes,42,55,7,42,100,42,240,0,100,1,0.0152,1,1,1,1
KXBTC15M-26APR221545-45,no,34,53,19,63,100,33,720,0,100,0,0.0154,1,1,1,1
KXBTC15M-26APR221530-30,no,34,47,4,66,42,0,0,540,0,1,0.0146,0,1,1,1
KXBTC15M-26APR221500-00,no,48,54,4,52,49,3,0,360,10,1,0.0116,0,0,0,1
KXBTC15M-26APR221445-45,yes,41,47,2,41,100,34,720,180,100,1,0.0127,1,1,1,1
KXBTC15M-26APR221430-30,no,56,66,7,44,97,43,660,420,97,0,0.0691,1,1,1,1
KXBTC15M-26APR221415-15,no,30,44,14,66,68,0,300,720,0,1,0.0303,1,1,1,1
KXBTC15M-26APR221400-00,yes,27,54,21,27,100,27,720,0,100,1,0.0227,1,1,1,1
