ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26MAR261630-30,no,40,52,8.0,69217.76,69206.85,0.00016,0,1,60.0,3.36,56.64
KXBTC15M-26MAR261615-15,yes,14,54,40.0,68542.48,68534.76,0.00011,1,1,86.0,1.69,84.31
KXBTC15M-26MAR261230-30,no,32,57,11.0,68985.38,68964.88,0.00030,0,1,68.0,3.05,64.95
KXBTC15M-26MAR261130-30,yes,28,48,20.0,69020.92,69031.33,0.00015,0,0,-28.0,2.82,-30.82
KXBTC15M-26MAR260930-30,yes,22,53,31.0,69441.43,69437.39,0.00006,0,0,-22.0,2.40,-24.40
KXBTC15M-26MAR260830-30,yes,32,52,20.0,69358.42,69354.94,0.00005,1,1,68.0,3.05,64.95
KXBTC15M-26MAR260800-00,yes,38,47,9.0,69370.81,69378.43,0.00011,0,0,-38.0,3.30,-41.30
KXBTC15M-26MAR260700-00,yes,22,49,27.0,69506.43,69507.66,0.00002,0,0,-22.0,2.40,-24.40
KXBTC15M-26MAR260530-30,yes,7,33,26.0,69996.10,70021.69,0.00037,0,0,-7.0,0.91,-7.91
KXBTC15M-26MAR260145-45,yes,30,56,26.0,70567.32,70553.92,0.00019,0,0,-30.0,2.94,-32.94
KXBTC15M-26MAR260100-00,yes,14,41,27.0,70827.86,70837.84,0.00014,0,0,-14.0,1.69,-15.69
KXBTC15M-26MAR260015-15,yes,11,29,18.0,70834.14,70861.84,0.00039,0,0,-11.0,1.37,-12.37
KXBTC15M-26MAR252315-15,yes,16,42,26.0,70863.11,70880.77,0.00025,1,1,84.0,1.88,82.12
KXBTC15M-26MAR252200-00,yes,46,54,8.0,71237.25,71231.72,0.00008,1,1,54.0,3.48,50.52
KXBTC15M-26MAR251930-30,no,22,53,25.0,71317.08,71306.81,0.00014,1,0,-22.0,2.40,-24.40
KXBTC15M-26MAR251900-00,yes,36,50,14.0,71353.61,71353.91,0.00000,1,1,64.0,3.23,60.77
KXBTC15M-26MAR251815-15,yes,20,38,18.0,70999.39,71015.63,0.00023,0,0,-20.0,2.24,-22.24
