ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR042345-45,BB_PURE_MEANREV,T600,yes,5,67145.65,67149.36,0,0,-5.0,0.67,-5.67
KXBTC15M-26APR042330-30,BB_PURE_MEANREV,T600,no,39,67144.95,67146.35,1,0,-39.0,3.33,-42.33
KXBTC15M-26APR042115-15,BB_PURE_MEANREV,T600,yes,12,67176.43,67175.80,1,1,88.0,1.48,86.52
KXBTC15M-26APR042030-30,BB_PURE_MEANREV,T600,yes,23,67251.93,67245.47,0,0,-23.0,2.48,-25.48
KXBTC15M-26APR041745-45,BB_PURE_MEANREV,T600,no,16,67261.49,67274.06,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR041700-00,BB_PURE_MEANREV,T600,yes,11,67265.80,67284.38,0,0,-11.0,1.37,-12.37
KXBTC15M-26APR041545-45,BB_PURE_MEANREV,T600,yes,20,67341.27,67361.83,0,0,-20.0,2.24,-22.24
KXBTC15M-26APR041415-15,BB_PURE_MEANREV,T600,yes,28,67348.89,67341.83,0,0,-28.0,2.82,-30.82
KXBTC15M-26APR041400-00,BB_PURE_MEANREV,T600,yes,44,67334.59,67324.92,1,1,56.0,3.45,52.55
KXBTC15M-26APR041215-15,BB_PURE_MEANREV,T600,yes,8,67367.17,67380.17,0,0,-8.0,1.03,-9.03
KXBTC15M-26APR041030-30,BB_PURE_MEANREV,T600,yes,39,67203.82,67198.18,1,1,61.0,3.33,57.67
KXBTC15M-26APR040930-30,BB_PURE_MEANREV,T600,no,42,67097.34,67101.79,1,0,-42.0,3.41,-45.41
KXBTC15M-26APR040830-30,BB_PURE_MEANREV,T600,no,22,67110.40,67118.16,0,1,78.0,2.40,75.60
KXBTC15M-26APR040800-00,BB_PURE_MEANREV,T600,yes,30,67134.67,67140.60,1,1,70.0,2.94,67.06
KXBTC15M-26APR040615-15,BB_PURE_MEANREV,T600,yes,15,66984.14,66974.61,0,0,-15.0,1.79,-16.79
KXBTC15M-26APR040430-30,BB_PURE_MEANREV,T600,no,14,67012.67,66999.43,1,0,-14.0,1.69,-15.69
KXBTC15M-26APR040415-15,BB_PURE_MEANREV,T600,yes,24,67009.63,67012.95,0,0,-24.0,2.55,-26.55
KXBTC15M-26APR040400-00,BB_PURE_MEANREV,T600,yes,33,67008.96,67002.22,1,1,67.0,3.10,63.90
KXBTC15M-26APR040330-30,BB_PURE_MEANREV,T600,yes,9,66961.06,66987.67,0,0,-9.0,1.15,-10.15
KXBTC15M-26APR040245-45,BB_PURE_MEANREV,T600,yes,45,66931.04,66924.56,1,1,55.0,3.47,51.53
KXBTC15M-26APR040215-15,BB_PURE_MEANREV,T600,no,16,66929.31,66912.52,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR040130-30,BB_PURE_MEANREV,T600,yes,42,66889.61,66872.82,0,0,-42.0,3.41,-45.41
KXBTC15M-26APR040115-15,BB_PURE_MEANREV,T600,no,14,66885.70,66861.61,1,0,-14.0,1.69,-15.69
KXBTC15M-26APR040100-00,BB_PURE_MEANREV,T600,no,24,66859.89,66858.77,1,0,-24.0,2.55,-26.55
KXBTC15M-26APR032245-45,BB_PURE_MEANREV,T600,no,25,66843.45,66836.00,1,0,-25.0,2.63,-27.62
