ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR200900-00,no,34,49,17.0,75262.67,75264.70,0.00003,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR200315-15,no,10,38,52.0,74802.30,74817.47,0.00020,1,0,-10.0,1.26,-11.26
KXBTC15M-26APR200215-15,no,7,71,22.0,74329.25,74301.93,0.00037,1,0,-7.0,0.91,-7.91
KXBTC15M-26APR192115-15,no,42,37,21.0,74335.18,74350.32,0.00020,1,0,-42.0,3.41,-45.41
KXBTC15M-26APR192000-00,yes,6,46,40.0,73911.83,73918.56,0.00009,0,0,-6.0,0.79,-6.79
KXBTC15M-26APR191700-00,no,6,48,46.0,74657.48,74661.86,0.00006,1,0,-6.0,0.79,-6.79
KXBTC15M-26APR191630-30,yes,5,52,47.0,74815.24,74813.53,0.00002,0,0,-5.0,0.67,-5.67
KXBTC15M-26APR191530-30,yes,30,58,28.0,75004.32,74994.71,0.00013,1,1,70.0,2.94,67.06
KXBTC15M-26APR191330-30,no,54,38,8.0,75256.73,75275.98,0.00026,1,0,-54.0,3.48,-57.48
KXBTC15M-26APR191045-45,yes,29,53,24.0,76005.76,76001.65,0.00005,1,1,71.0,2.88,68.12
KXBTC15M-26APR190815-15,no,22,33,45.0,75609.47,75635.84,0.00035,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR190645-45,yes,18,39,21.0,75110.17,75121.60,0.00015,1,1,82.0,2.07,79.93
KXBTC15M-26APR190500-00,yes,20,44,24.0,75274.42,75276.47,0.00003,0,0,-20.0,2.24,-22.24
KXBTC15M-26APR190130-30,no,40,25,35.0,75562.33,75591.42,0.00038,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR182115-15,no,48,30,22.0,75661.17,75681.20,0.00026,0,1,52.0,3.49,48.51
KXBTC15M-26APR181615-15,no,7,50,43.0,75696.02,75695.91,0.00000,1,0,-7.0,0.91,-7.91
KXBTC15M-26APR181330-30,no,22,62,16.0,75871.12,75861.99,0.00012,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR172215-15,no,8,48,44.0,77246.81,77248.60,0.00002,1,0,-8.0,1.03,-9.03
KXBTC15M-26APR172015-15,no,45,30,25.0,77118.81,77147.86,0.00038,0,1,55.0,3.47,51.53
KXBTC15M-26APR171845-45,no,22,38,40.0,77430.93,77441.17,0.00013,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR171100-00,no,20,53,27.0,77973.75,77963.87,0.00013,1,0,-20.0,2.24,-22.24
